Date,High,Low,Open,Close,Volume,Adj Close
2018-01-02,172.3000030517578,169.25999450683594,170.16000366210938,172.25999450683594,25555900.0,166.3537139892578
2018-01-03,174.5500030517578,171.9600067138672,172.52999877929688,172.22999572753906,29517900.0,166.32472229003906
2018-01-04,173.47000122070312,172.0800018310547,172.5399932861328,173.02999877929688,22434600.0,167.0972900390625
2018-01-05,175.3699951171875,173.0500030517578,173.44000244140625,175.0,23660000.0,168.99974060058594
2018-01-08,175.61000061035156,173.92999267578125,174.35000610351562,174.35000610351562,20567800.0,168.37203979492188
2018-01-09,175.05999755859375,173.41000366210938,174.5500030517578,174.3300018310547,21584000.0,168.35272216796875
2018-01-10,174.3000030517578,173.0,173.16000366210938,174.2899932861328,23959900.0,168.31410217285156
2018-01-11,175.49000549316406,174.49000549316406,174.58999633789062,175.27999877929688,18667700.0,169.27015686035156
2018-01-12,177.36000061035156,175.64999389648438,176.17999267578125,177.08999633789062,25418100.0,171.0181121826172
2018-01-16,179.38999938964844,176.13999938964844,177.89999389648438,176.19000244140625,29565900.0,170.1489715576172
2018-01-17,179.25,175.07000732421875,176.14999389648438,179.10000610351562,34386800.0,172.95921325683594
2018-01-18,180.10000610351562,178.25,179.3699951171875,179.25999450683594,31193400.0,173.1136932373047
2018-01-19,179.5800018310547,177.41000366210938,178.61000061035156,178.4600067138672,32425100.0,172.3411407470703
2018-01-22,177.77999877929688,176.60000610351562,177.3000030517578,177.0,27108600.0,170.9311981201172
2018-01-23,179.44000244140625,176.82000732421875,177.3000030517578,177.0399932861328,32689100.0,170.9698028564453
2018-01-24,177.3000030517578,173.1999969482422,177.25,174.22000122070312,51105100.0,168.24652099609375
2018-01-25,174.9499969482422,170.52999877929688,174.50999450683594,171.11000061035156,41529000.0,165.24313354492188
2018-01-26,172.0,170.05999755859375,172.0,171.50999450683594,39143000.0,165.62940979003906
2018-01-29,170.16000366210938,167.07000732421875,170.16000366210938,167.9600067138672,50640400.0,162.20114135742188
2018-01-30,167.3699951171875,164.6999969482422,165.52999877929688,166.97000122070312,46048200.0,161.24510192871094
2018-01-31,168.44000244140625,166.5,166.8699951171875,167.42999267578125,32478900.0,161.68931579589844
2018-02-01,168.6199951171875,166.75999450683594,167.1699981689453,167.77999877929688,47230800.0,162.02732849121094
2018-02-02,166.8000030517578,160.10000610351562,166.0,160.5,86593800.0,154.99693298339844
2018-02-05,163.8800048828125,156.0,159.10000610351562,156.49000549316406,72738500.0,151.12440490722656
2018-02-06,163.72000122070312,154.0,154.8300018310547,163.02999877929688,68243800.0,157.44015502929688
2018-02-07,163.39999389648438,159.07000732421875,163.08999633789062,159.5399932861328,51608600.0,154.06982421875
2018-02-08,161.0,155.02999877929688,160.2899932861328,155.14999389648438,54390500.0,149.8303680419922
2018-02-09,157.88999938964844,150.24000549316406,157.07000732421875,156.41000366210938,70672600.0,151.6630096435547
2018-02-12,163.88999938964844,157.50999450683594,158.5,162.7100067138672,60819500.0,157.77178955078125
2018-02-13,164.75,161.64999389648438,161.9499969482422,164.33999633789062,32549200.0,159.35232543945312
2018-02-14,167.5399932861328,162.8800048828125,163.0399932861328,167.3699951171875,40644900.0,162.2903594970703
2018-02-15,173.08999633789062,169.0,169.7899932861328,172.99000549316406,51147200.0,167.73980712890625
2018-02-16,174.82000732421875,171.77000427246094,172.36000061035156,172.42999267578125,40176100.0,167.19679260253906
2018-02-20,174.25999450683594,171.4199981689453,172.0500030517578,171.85000610351562,33930500.0,166.6343994140625
2018-02-21,174.1199951171875,171.00999450683594,172.8300018310547,171.07000732421875,37471600.0,165.87806701660156
2018-02-22,173.9499969482422,171.7100067138672,171.8000030517578,172.5,30991900.0,167.26467895507812
2018-02-23,175.64999389648438,173.5399932861328,173.6699981689453,175.5,33812400.0,170.17361450195312
2018-02-26,179.38999938964844,176.2100067138672,176.35000610351562,178.97000122070312,38162200.0,173.5382843017578
2018-02-27,180.47999572753906,178.16000366210938,179.10000610351562,178.38999938964844,38928100.0,172.97592163085938
2018-02-28,180.6199951171875,178.0500030517578,179.25999450683594,178.1199951171875,37782100.0,172.714111328125
2018-03-01,179.77999877929688,172.66000366210938,178.5399932861328,175.0,48802000.0,169.6887664794922
2018-03-02,176.3000030517578,172.4499969482422,172.8000030517578,176.2100067138672,38454000.0,170.86207580566406
2018-03-05,177.74000549316406,174.52000427246094,175.2100067138672,176.82000732421875,28401400.0,171.45358276367188
2018-03-06,178.25,176.1300048828125,177.91000366210938,176.6699981689453,23788500.0,171.30812072753906
2018-03-07,175.85000610351562,174.27000427246094,174.94000244140625,175.02999877929688,31703500.0,169.7178955078125
2018-03-08,177.1199951171875,175.07000732421875,175.47999572753906,176.94000244140625,23774100.0,171.56993103027344
2018-03-09,180.0,177.38999938964844,177.9600067138672,179.97999572753906,32185200.0,174.51763916015625
2018-03-12,182.38999938964844,180.2100067138672,180.2899932861328,181.72000122070312,32207100.0,176.204833984375
2018-03-13,183.5,179.24000549316406,182.58999633789062,179.97000122070312,31693500.0,174.50796508789062
2018-03-14,180.52000427246094,177.80999755859375,180.32000732421875,178.44000244140625,29368400.0,173.02438354492188
2018-03-15,180.24000549316406,178.07000732421875,178.5,178.64999389648438,22743800.0,173.22801208496094
2018-03-16,179.1199951171875,177.6199951171875,178.64999389648438,178.02000427246094,39404700.0,172.61715698242188
2018-03-19,177.47000122070312,173.66000366210938,177.32000732421875,175.3000030517578,33446800.0,169.97970581054688
2018-03-20,176.8000030517578,174.94000244140625,175.24000549316406,175.24000549316406,19649400.0,169.92152404785156
2018-03-21,175.08999633789062,171.25999450683594,175.0399932861328,171.27000427246094,37054900.0,166.07200622558594
2018-03-22,172.67999267578125,168.60000610351562,170.0,168.85000610351562,41490800.0,163.72544860839844
2018-03-23,169.9199981689453,164.94000244140625,168.38999938964844,164.94000244140625,41028800.0,159.93409729003906
2018-03-26,173.10000610351562,166.44000244140625,168.07000732421875,172.77000427246094,37541200.0,167.52650451660156
2018-03-27,175.14999389648438,166.9199981689453,173.67999267578125,168.33999633789062,40922600.0,163.2309112548828
2018-03-28,170.02000427246094,165.19000244140625,167.25,166.47999572753906,41668500.0,161.4273681640625
2018-03-29,171.75,166.89999389648438,167.80999755859375,167.77999877929688,38398500.0,162.68792724609375
2018-04-02,168.94000244140625,164.47000122070312,166.63999938964844,166.67999267578125,37586800.0,161.62130737304688
2018-04-03,168.75,164.8800048828125,167.63999938964844,168.38999938964844,30278000.0,163.2794189453125
2018-04-04,172.00999450683594,164.77000427246094,164.8800048828125,171.61000061035156,34605500.0,166.4016876220703
2018-04-05,174.22999572753906,172.0800018310547,172.5800018310547,172.8000030517578,26933200.0,167.55555725097656
2018-04-06,172.47999572753906,168.1999969482422,170.97000122070312,168.3800048828125,35005300.0,163.26974487304688
2018-04-09,173.08999633789062,169.85000610351562,169.8800048828125,170.0500030517578,29017700.0,164.88902282714844
2018-04-10,174.0,171.52999877929688,173.0,173.25,28408600.0,167.99192810058594
2018-04-11,173.9199981689453,171.6999969482422,172.22999572753906,172.44000244140625,22431600.0,167.2064971923828
2018-04-12,175.0,173.0399932861328,173.41000366210938,174.13999938964844,22889300.0,168.85491943359375
2018-04-13,175.83999633789062,173.85000610351562,174.77999877929688,174.72999572753906,25124300.0,169.42697143554688
2018-04-16,176.19000244140625,174.8300018310547,175.02999877929688,175.82000732421875,21578400.0,170.4839324951172
2018-04-17,178.94000244140625,176.41000366210938,176.49000549316406,178.24000549316406,26605400.0,172.83045959472656
2018-04-18,178.82000732421875,176.8800048828125,177.80999755859375,177.83999633789062,20754500.0,172.44259643554688
2018-04-19,175.38999938964844,172.66000366210938,173.75999450683594,172.8000030517578,34808800.0,167.55555725097656
2018-04-20,171.22000122070312,165.42999267578125,170.60000610351562,165.72000122070312,65491100.0,160.6904296875
2018-04-23,166.9199981689453,164.08999633789062,166.8300018310547,165.24000549316406,36515500.0,160.2250213623047
2018-04-24,166.3300018310547,161.22000122070312,165.6699981689453,162.94000244140625,33692000.0,157.9948272705078
2018-04-25,165.4199981689453,162.41000366210938,162.6199951171875,163.64999389648438,28382100.0,158.68325805664062
2018-04-26,165.72999572753906,163.3699951171875,164.1199951171875,164.22000122070312,27963000.0,159.2359619140625
